,tweet,binaereKlassifikation,granulareKlassifikation
908,@1schlobohm @RagnarR56 @SchulenburgCh @CDU @cducsubt @AfD Da taucht der nächste #Linksfaschist aus dem #Sumpf der deutsch/europäischen Massenmörder Partei #CDU auf.,OFFENSE,ABUSE
909,@vanBerlichingen @FLehrter Die korrupte dt. #Asylindustrie braucht jeden noch so kriminellen #korantreuen #Moslem.,OFFENSE,ABUSE
910,"@helllud123 Die Destabilisierung Deutschlands, läuft in vollen Zügen. Scheinbar soll die staatlich finanzierte Gewalt, der #SANTIFA #Linksfaschisten die Bevölkerung vor der nächsten #InvasorenWelle aus der Türkei /Griechenland ablenken.",OFFENSE,ABUSE
911,"@Einzelfallinfos Schade, das mir nicht solch ein mieser, dreckiger Abschaum der Menschheit über den Weg läuft!",OFFENSE,ABUSE
912,"@DirkHafermann Das ist eine offensichtliche Drohung,.... Der Streicher soll mir das mal ins Gesicht sagen.... <U+0001F595><U+0001F3FB>",OTHER,OTHER
913,@TheRealAW2 Was raucht die dämliche #Soermarutsche? <U+0001F914>,OFFENSE,INSULT
914,"@AndreasStraub @AnJa49150998 Steht m/w/d nicht für... |LBR| \""""männliche, weisse, deutsche\""""? <U+0001F914> |LBR| .... <U+0001F923><U+0001F923><U+0001F923><U+0001F923> Nichts sexistisches.... Viel mir wieder ein, hab ich neulich auf Twitter irgendwo gelesen.... <U+0001F602><U+270C><U+0001F3FB>",OTHER,OTHER
915,"@burger_ein @walsberger49 ... vielen europäischen Frauen und ganz besonders Kleinkindern das Leben retten, die begehrte Beute des #Islams und seinen Anhängern.",OFFENSE,ABUSE
916,@fremer59 @AnJa49150998 @helllud123 @bernd471 Wie kann man einen #Kanaken in dieses Amt setzen? Sollen jetzt auch noch die türkischen grauen Wölfe gesellschaftsfähig gemacht werden oder was?,OFFENSE,ABUSE
917,"@PeachTr47293532 Soweit ist es schon, die #Polen in unserem Viertel #Berlin #Schöneberg gehen mittlerweile fast auf jeden #Moslem los. Die machen keinen Unterschied! Bei uns brennt momentan die Luft!",OTHER,OTHER
918,"#SPD will bei der Energiewende die Stromkunden entlasten,wer seine Stromrechnung niht mehr bezahlen kann soll in Zukunft wenigstens Preiswerte Kerzen Kaufen können.TOLL Bald kommen die neuen #tafeln die Kerzen verteilen.",OTHER,OTHER
919,#Schröder warnt #SPD vor Linksruck |LBR| Mehrheiten kann man nur durch die Spenden der Reichen gewinnen.Wer Sozialpolitik für Reiche macht wie ich mit Hartz IV hat dann ausgesorgt.TOLL,OTHER,OTHER
920,Wenn ein Rechtsradikaler wie #Orban in Ungarn das #SPD #Grünen Hartz IV System einführen will schreibt die Deutsche Presse das wäre Unmenschlich.Aber gleichtzeitig loben sie die SPD das sie das |LBR| Unmenschliche Hartz iV System in Deutschland eingeführt haben.TOLL Arschgeigen,OFFENSE,INSULT
921,"#Unglaublich |LBR| Die Deutsche Presse Regt sich auf !!! Darüber das der rechtsnationalen Ministerpräsidenten Viktor #Orbán,er will nähmlich das #SPD #Grünen Hartz IV System in #Ungarn einführen.Sie regen sich nicht auf das es die #SPD #Grünen in Deutschland gemacht haben.TOLL",OTHER,OTHER
922,"#Ungarn |LBR| Hunderttausende protestieren erneut gegen das geplante Hartz IV \""""Sklavereigesetz\""""vom rechtsnationalen Ministerpräsidenten Viktor #Orbán,der will nähmlich das #SPD #Grünen Hartz IV System in Ungarn einführen.Sage ja immer die SPD Grünen sind rechtsnationale",OTHER,OTHER
923,#Polizei erschießt 74-Jährigen in #Bochum |LBR| Der Mann habe plötzlich einen nicht näher genannten - Gegenstand gezogen.Blinde Polizisten die nicht sehen können was der Alte Herr in der Hand hat aber gleichmal een abballern.Wo Leben wir das solche Django auf Bürger losgelassen werden,OFFENSE,INSULT
924,Und hier die echt besten Neujahrsvorsätze für 2019 |LBR| Nie wieder #SPD #CDU #CSU #Grünen #FDP Wählen. |LBR| Und dein Leben wird sich wirklich zum guten wenden.,OTHER,OTHER
925,Die Presse schreibt immer #Linke könnten keine gläubige Christen sein.Weil die zum beispiel gegen Paragrafen #219a sind.Die Spinnen denn jeder weiß das Jesus der erste Linke war und er wurde Gekreuzigt weil Er Menschen Liebte.,OTHER,OTHER
926,Berufspolitiker sind das Problem von Deutschland bei #SPD #CDU #CSU #Grünen #FDP git es nur Berufspolitiker die haben nie im Leben Gearbeitet und sind in einer Partei schon seit dem Kindergarten.Sie haben von Tuten und Blasen keine Ahnung..,OTHER,OTHER
927,"In #Thüringen ist ein 43-Jähriger aus dem ersten Obergeschoss eines Hauses gefallen, während er nach besserem Empfang für sein Handy suchte. Er hatte Glück im Unglück als er unten ankam hatte er ein Mobilfunknetz gefunden..Deutschland dein Internet. Danke #SPD #CDU #CSU",OTHER,OTHER
928,#SPD wünscht allen Frohe Weihnachten! |LBR| Äh nicht allen denn Hartz IV Empfängern Niedriglöhner Armtutsrentner wünschen sie das nicht denn sie hätten davon auch nichts.Weil die SPD auch im nächsten Jahr weiter so macht mit der Armutspolitik.TOLL Scheiß SPD,OFFENSE,INSULT
929,"Frau Neumann, sind Sie wieder aus der #SPD ausgetreten. Warum dieser Schritt? |LBR| Weil die #SPD TOTAL unglaubwürdig ist Links Reden aber Handeln als wäre sie die NSDAP .Hartz IV ist und bleibt das Nazi Vorbild der \""""Genossen\""",OFFENSE,INSULT
930,Am 10. Dezember 1948 verkündete die Generalversammlung der Vereinten Nationen in Paris die Allgemeine Erklärung der #Menschenrechte. |LBR| Die #SPD hat die #Menschenrechte mit Ihrem Hartz IV System 2003 wieder abgeschafft den Hartz IV verstößte gegen ALLE Menschenrechte,OTHER,OTHER
931,"andy F. (24), alleinerziehende Mutter, war in der Ausbildung, als sie die Diagnose Brustkrebs bekam. Das #Jobcenter hat ihr jetzt das Geld gekürzt– wegen Verwaltungsvorschriften. #SPD die Partei die jeden verrecken lässt,erst recht wenn er Kank wird.",OTHER,OTHER
932,Wegen der Scheiß Politik von #SPD #CDU #CSU sind im vergangenen Jahr mehr als 100 Millionen Arbeitstage ausgefallen wegen Depressionen und anderer psychischer Leiden der weiter so Politik von #Merkel– doppelt so viele wie noch vor zehn Jahren.,OTHER,OTHER
933,"#Nahles will Hartz IV abschaffen,aber nicht das System sondern nur den Namen.Die Bürger sind aufgefordert einen Neuen Namen zu finden und ihn zum #SPD Parteivorstand der @spdde zu schicken.Dann mal los..",OTHER,OTHER
934,Arbeitsminister Hubertus #Heil #SPD |LBR| Die Rente ist sicher solange die Rentner genügend Pfandflaschen im Müll finden.TOLL,OTHER,OTHER
935,"Arbeitsminister Hubertus #Heil (#SPD) |LBR| \""""Sozial ist, was Armut schafft, ich bleibe bei dem Motto wie es mein Gott König Schröder mit der Hartz IV Einführung wollte.Arbeit darf sich nicht lohnen dafür gibt es den Mindestlohn wo von keiner Leben kann und soll.TOLL",OFFENSE,INSULT
936,"Wie es sich für eine 16-Jährige anfühlt, arm zu sein ,das schlimmste ist wenn man mit Mutti vor der #Tafel Suppenküche steht die Angst das andere Schüler einen dort sehen wenn man um Essen betteln muss.Weil die #SPD #Grünen #CDU #CSU den Regelsatz willkürlich klein Rechnen.",OTHER,OTHER
937,"Wie es sich für eine 16-Jährige anfühlt, arm zu sein.\""""Wenn die Klasse ins Museum gehen wollte, wurden wir immer gefragt, wer einen Berlin-Pass hat. Dann musste ich nach vorne gehen,damit alle sehen das ich ein Hartz IV Kind bin.Danke #SPD #Grünen #CDU für die demütigung",OTHER,OTHER
938,In Deutschland leben 21 Prozent aller Kinder und Jugendlichen dauerhaft in #SPD Hartz IV Armut.Und darauf sind die Genossen bis Heute so stolz.Das sie es geshafft haben die Armut in Deutschland zu verdreifachen seit 2003.,OFFENSE,INSULT
939,"#SPD-Vize Malu #Dreyer verteidigt Kompromiss zu Paragraf #219a |LBR| Wichtig sei vor allem, \""""dass die SPD Weiterbildung für Ärzte durchsetzen konnte\""""Denn die Deutschen Ärzte sind zu Blöd für Schwangerschaftsabbrüche .TOLL wir haben also nur Blöde Ärzte und keine Blöden SPD Politiker",OTHER,OTHER
940,#SPD-Vize Malu #Dreyer verteidigt Kompromiss zu Paragraf #219a |LBR| Wir Genossen müssen alles tun um unsere gut bezahlten Ministerposten zu behalten.Für die SPD gibt es nichts was wichtiger ist.TOLL,OTHER,OTHER
941,"Nach #EU-Verordnung ist die Verfütterung von Speiseresten an Schweine nicht mehr erlaubt. Um die Schweine zu schützen,Heute wird das Zeug bei den #Tafeln Suppenküchen an Menschen verteilt weil der #SPD Hartz IV Satz nicht zum Leben reicht.Frage mich wer schützt die Menschen dort",OTHER,OTHER
942,"arkus #Söder #CDU freut sich immer wieder, wenn er nach Besuchen #Berlin verlassen kann.Bei Euch in Berlin gibt es nicht so viele Messerstechen wie bei uns in #Bayern siehe #Nürnberg.TOLL",OTHER,OTHER
943,"#Unglaublich |LBR| Ein Hartz-IV-Empfänger lehnt einen 1 Euro Job ab und stellt dann unverschämte Forderung,Er will eine Arbeit haben in Vollzeit Job mit einen Lohn wo von er auch noch leben kann.Wo Leben wir das ein Mensch so etwas verlangt ? #SPD Hartz IV System.",OTHER,OTHER
944,"Neue Generationen-Studie |LBR| Einmal Hartz IV, immer Hartz IV die SPD hat es geschafft das dort nie wieder einer raus kommen wird. Kinder die damit aufwachsen werden im Niedriglohnsektor landen danach eine Rente bekommen wo von man nicht Leben kannTOLL",OTHER,OTHER
945,Zuwanderung nach Deutschland |LBR| Zahl der Asylbewerber unter der Obergrenze damit das so bleibt darf diese Jahr keiner mehr rein kommen.TOLL Jesus muss am 24.12 draußen bleiben. |LBR| Er kann ja im Januar noch mal vorbei schauen..<U+0001F607>,OTHER,OTHER
946,"#Söder \""""Das Schönste an Bayern ist, wenn ich es verlasse\""",OTHER,OTHER
947,#Experten wissen jetzt warum der Bluthochdruck Volkskrankheit Nummer eins ist.Das kommt von der schlechten Politik der #SPD #CDU #CSU #Grünen und der #FDP.. |LBR| Sage ich schon seit Jahren die sind schlecht für die Gesundheit..Aber auf mich hört ja keiner.,OTHER,OTHER
948,#SPD: „Volkspartei“ ohne „Volk“ |LBR| Kein wunder das Volk steht auch jeden Tag vor den #Tafeln Suppenküchen oder sucht im Müll nach Flaschen um zu Überleben.Das hat keine Zeit für für Hartz IV Partei SPD.,OTHER,OTHER
949,"„Die Begriffe rechts und links haben eine weitgehende Entwertung erfahren, deshalb taugen sie auch nicht mehr als Feindbilder.“Nur die Deppen von #SPD #CDU #CSU haben das immer noch nicht mitbekommen.Wenn die eine Demo sehen sind es für SPD CDU CSU immer Rechts Links Radikale",OFFENSE,INSULT
950,#Bayern #Nürnberg in Angst vor dem Messerstecher Täter immer noch nicht gefasst.#Söder #CSU will selber nicht nach Nürnberg weil Er Angst hat.Wie sagte Söder immer Bayern ist das sicherste Bundesland in Deutschland da kann man nur drüber Lachen.,OTHER,OTHER
951,In Deutschland Leben über 16 Millionen in absoluter Armut stehen vor #Tafeln Suppenküchen oder suchen im Müll nach Flaschen um zu Überleben.Aber die Mainstream Medien #ARD #ZDF Blödzeitung spechen von relative Armut um so die Armen noch mehr zu demütigen .#SKANDAL,OFFENSE,INSULT
952,"Stephan #Weil #SPD . Wurde Samstag wird er 60 - und wünscht sich, dass sein Leben so bleibt, wie es ist.TOLL Er muss ja auch nicht vor einer #tafel Suppenküche um Essen betteln oder im Müll nach Flaschen suchen um zu Überleben wie alle Millionen SPD Opfer.",OTHER,OTHER
953,Die #SPD macht sich beim Paragrafen #219a endgültig lächerlich. |LBR| Es ist mehr als nur lächerlich das zeigt doch nur dass es keine SPD mehr gibt dort sitzen nur noch Merkel Arschkriechen der Seeheimer Kreis der SPD in #Berlin.,OFFENSE,INSULT
954,"Der #SPD Vorstand Seeheimer Kreis traff sich gestern zum Reden, nicht zum Entscheiden. TOLL Entscheiden ob und wie sich die SPD Erneuert kommt erst wenn es die Partei nicht mehr gibt.. Auch eine Lösung..",OTHER,OTHER
955,"#SPD #CDU #CSU haben das Drittes Geschlecht eingeführt |LBR| Männlich, weiblich, Außerirdisch - Vielfalt ist normal",OTHER,OTHER
956,"Angriffe in #Nürnberg |LBR| Die Polizei informiert erst etwa sieben Stunden später über die Geschehnisse. Man habe die Bürger nicht in Aufruhr versetzen wollen,TOLL und der Täter konnte weiter Frauen abstechen.. #CSU Land wo Bürger Freiwild sind.",OTHER,OTHER
957,In Nürnberg geht die Angst um: Unbekannter nach Messer-Attacken weiter auf der Flucht..TOLL und der #Söder #CSU sagt immer noch #Bayern wäre das sicherste Bundesland in Deutschland hört sich an als wenn er die Opfer auch noch verhöhnen will.,OTHER,OTHER
958,Kinder-Ehen: Müssen wir sie jetzt akzeptieren |LBR| Verbot wackelt das Verfassungsgericht könnte und wird sie bestimmt zulassen.Bei Flüchtlingen..,OTHER,OTHER
959,"Der #SPD geht das Geld aus,in manchen Bundesländern haben die Genossen schon Hartz IV beantragt.Und müssen selber erleben das beim #Jobcenter Anträge einfach nicht ankommen.TOLL weil Mitarbeiter Unterlagen einfach weg werfen..Hat System um zu Sanktioniren.",OTHER,OTHER
960,"Paragrafen 219a |LBR| Ärztin Hänel wurde zu einer Geldstrafe verurteilt,weil sie für Abtreibungen„geworben“hatte. |LBR| Es scheint,als seien Sie vor allem enttäuscht von der #SPD. Stimmt das? |LBR| Die SPD ist eine Verräter Partei man kann nichts anderes zu der Partei sagen.Einfach unwählbar",OFFENSE,INSULT
961,Cem #Özdemir die #Grünen für „Rede des Jahres 2018“ ausgezeichnet |LBR| Er bekommt dafür den Goldene Vollpfosten..,OFFENSE,INSULT
962,illiarden für Besserverdiener |LBR| #SPD beschließt neues Kita-Gesetz damit Reiche kosstenlose Kita Plätze haben.TOLL Sozialpolitik für Reiche..Was sonst..,OTHER,OTHER
963,Bundeshilfen für Schulen |LBR| #SPD Länder stoppen Grundgesetzänderung |LBR| #Nahles ist zu Dumm für diese Welt..,OFFENSE,INSULT
964,Im #Nürnberger Stadtteil St. Johannis werden drei Frauen am selben Abend auf der Straße mit einem Messer schwer verletzt. Der Täter ist bestimmt wieder einer der Polizei bekannt ist nur davon gibt es so viele...,OTHER,OTHER
965,"#Brexit |LBR| „Times“ befand, die #Merkel #CDU habe #May „gedemütigt“. |LBR| Nicht nur die May auch das Deutsche Volk..",OTHER,OTHER
966,#Giffey #SPD Ihr „Gute-Kita-Gesetz“ sie will es schnell haben damit ihre Reichen Freunde jeden Monat Geld sparen.TOLL Warum sollen Reiche keine Kita Gebrüren zahlen? Das ist mal wieder Sozial Politik der SPD für Reiche Schmarotzer.,OFFENSE,INSULT
967,"Die #SPD hat es geschafft mit ihrem Hartz IV System es gibt 13,7 Millionen Menschen in Deutschland (Die versteckte Armut nicht mitgezählt) die in Armut \""""Leben\""müssen.Noch keine Partei vor der sPD hat das geschafft.Hierfür bekommen die Genossen von mir Goldenen vollpfosten",OFFENSE,INSULT
968,"Im #Nahles Positionspapier zur #SPD Klausur (Der Sozialstaat als Partner: vorsorgend,verlässlich und fair) Ist Auffällig das Hartz IV mit keinem Wort erwähnt wird und das sollte eigendlich DAS TOP Thema sein bei der Klausur.Was sagt uns das? Nahles will alles so lassen wie es ist",OTHER,OTHER
969,"Bundesfamilienministerin Franziska #Giffey #SPD:\""""Wir sollten nicht gleich das ganze Hartz IV System über den Haufen werfen\""""Wir brauchen die Kinderarmut um druck auf die Eltern auszuüben das sie auf Lohnerhöhungen verzichten und für jeden Hungerlohn Malochen gehen.TOLL",OFFENSE,INSULT
970,Auf der eintägigen Vorstandsklausur der #SPD Heute am Freitag in Berlin sollen nach dem Willen von #Nahles die Widersprüche der Sozialdemokraten im Hinterzimmer mit verschlossenen Türen auf den Tisch kommen und ausgiebig debattiert werden. TOLL Die Schröder Bande unter sich,OFFENSE,INSULT
971,"#Merkel #CDU betonte den Einigungswillen. «Wir wollen eine sehr nahe Partnerschaft mit Großbritannien, weil wir uns Großbritannien freundschaftlich verbunden fühlen.Also will Merkel der Theresa #May noch weiter in den Hintern Kriechen.TOLL #Merkelmussweg",OFFENSE,INSULT
972,"Europäische Union hat Großbritannien neue Zusicherungen gemacht, um die #Brexit-Blockade im Londoner Parlament aufzubrechen. TOLL das ist dann kein Brexit mehr sondern ein Neuer Status für England sie haben Keine Verpflichtungen mehr aber alles um Proft zu machen.#Merkelmussweg",OTHER,OTHER
973,Bei der Europawahl im Mai drohen #CDU #CSU und #SPD einer Umfrage zufolge schwere Einbußen. Es kann sein das die SPD es nicht schafft auch nur eine stimme zu bekommen.Das finde ich super wer will schon eine Hartz IV Partei im EU Palament haben..KEINER,OTHER,OTHER
974,Abtreibungsparagraf 219a |LBR| Verurteilte Ärztin „entsetzt“ über die #SPD die Partei ist absolut Unglaubwürdig und die Ärztin Rät allen Ärzten diese SPD Nie wieder zu Wählen..,OTHER,OTHER
975,Paragraf 219a - Wieder eine Bestätigung die #SPD nie wieder zu wählen,OTHER,OTHER
976,"Heinrich Alt zu #SPD #Grünen #CDU Hartz IV Sanktionen : \""""Wer keine Sinnlose Maßnahme oder keinen Job mit Hungerlohn und danach mit einer Hungerrente annimmt oder zu einer Demütiken Gespräch Einladung zu Spät kommt ,muss die Konsequenzen tragen\""""Und drei Monate HUNGERN.TOLL",OTHER,OTHER
977,Gertrud von der #Leyen #CDU Berateraffäre unter Korruptionsverdacht und Vetternwirtschaft rund 20 Millionen soll sie für externe Unternehmensberater (Die eigene Familie ? ) ausgegeben,OTHER,OTHER
978,"Umstrittener Paragraf #219a |LBR| Die #CDU/#CSU hat sich voll inhaltlich durchgesetzt und die #SPD ist schon wieder umgekippt. Es wird nur marginale kosmetische Korrekturen geben, wenn überhaut.Die SPD ist eine Partei geworden von Weicheiern und \""""Genossen\""ohne Rückgrat.UNWÄHLBAR.",OFFENSE,INSULT
979,"Umstrittener Paragraf 219a |LBR| Die #SPD unterstellt Frauen in einer prekären Lebenssituation Leichtfertigkeit.Sonst hätte die Entscheidung anders lauten müssen.allein der Begriff \""""Werbeverbot\""unterstellt einerseits Geldgier bei den Ärzten und |LBR| Leichtfertigkeit bei den Frauen.",OTHER,OTHER
980,Umstrittener Paragraf 219a |LBR| #Nahle #SPD kneift wieder mal den Arsch zu |LBR| So eine SPD ist Unwählbar immer Große Sprüche dann aber immer Tiefer in den Hintern der #Merkel #CDU verkrichen.,OFFENSE,INSULT
981,#Merkel #CDU: Deutschland muss mehr Imame selbst ausbilden |LBR| TOLL jetzt müssen wir dafür auh noch unser Steuergeld ausgeben wir haben ja noch nicht genügend Deutsche Rentner die im Müll nach Flaschen suchen müssen um zu Überleben.,OTHER,OTHER
982,"Der Witz des Tages kommt von #Merkel #CDU: |LBR| Merkel wirft #AfD Verbreitung von \""""Falschinformationen\""vor |LBR| Wer hat den die Falschinformation gesagt \""""Wir schaffen das\"""" ? |LBR| Es war doch die Merkel.",OTHER,OTHER
983,"Geht Bundeskanzlerin Angela #Merkel als Ex-#CDU-Chefin die Souveränität ab? Wer die erste Befragung der Bundesregierung nach Merkels Rückzug vom Parteivorsitz erlebt hat, kommt zu einem eindeutigen Schluss. |LBR| #Merkelmussweg..",OTHER,OTHER
984,"Was muss man heutzutage tun, wie sich verhalten, wenn man nicht permanent ein schlechtes Gewissen haben will? |LBR| Die Antwort ist einfach nie wieder #SPD #CDU #CSU #Grünen oder #FDP Wählen.",OTHER,OTHER
985,"Bürgerrechtlerin, Publizistin und Ökonomin Katharina #Nocun: |LBR| Wer überwacht wird wie die Deutschen Bürger im Internet vom Staat #SPD #CDU #CSU #Grünen der ist nicht frei.. |LBR| Das sage ich doch auch schon seit Jahren..",OTHER,OTHER
986,Hartz IV und die Glaubwürdigkeit der #SPD |LBR| Wer sagt Er will Hartz IV abschaffen aber gleichzeitig den Regelsatz nicht auf ein Menschenwürdiges Niveau erhöht ein Leben ohne #Tafeln Suppenküchen und bei Sanktionen des Existenzminimum bleibt der ist TOTAL UNGLAUBWÜRDIG.,OTHER,OTHER
987,#SPD lobt Gesundheitsminister Jens #Spahn (#CDU) |LBR| Oh man Willy Brandt würde sich im Grab umdrehen wernn er das hört.,OTHER,OTHER
988,Der #NRW-Landesverband der #SPD fordert beim Werbeverbot für Abtreibungen eine Gewissensentscheidung. Andrea #Nahles lehnt diesen Weg ab.Weil Nahles glaubt das SPD Politiker kein Gewissen haben.Damit könnte sie sogar Recht haben sonst gäbe es kein Hartz IV Systm.,OTHER,OTHER
989,"Ein #AfD-Politiker hat durch beleidigende Zwischenrufe eine Landtagssitzung gestört. Weil er sich weigerte, den Saal zu verlassen, entstanden Tumulte. Die Polizei führte ihn und einen #GRÜNEN Abgeordneten ab.",OTHER,OTHER
990,Fünf Festnahmen nach Anschlag in #Straßburg |LBR| #Merkel #CDU haben sie aber immer noch nicht Festgenommen ..,OTHER,OTHER
991,"Was sich #SPD-Mitglieder von ihrer Partei wünschen,das die das austritts Anträge schneller bearbeitet werden.Denn alle wollen so schnell wie möglich aus der Hartz IV Partei raus kommen.",OTHER,OTHER
992,"Laut Statistischem Bundesamt |LBR| Jeder dritte Häftling ist inzwischen Ausländer |LBR| Dann sollten Deutsche die dort mal zu eine Unterkunft bekommen,mehrere Sprachen vorher lernen.Sonst wir es schwer werden für Deutsche Bürger.",OTHER,OTHER
993,"#CDU-Generalsekretär |LBR| #Ziemiak lässt Amt als JU-Chef ruhen,Faule Sau andere müssen auch 2 oder 3 Jobs haben um wenigstens die Miete Zahlen zu können.Daran sieht man den Politikern geht es zu gut",OFFENSE,PROFANITY
994,"#CDU hat Geheimplan für 2019 wenn #SPD die #GroKo verlässt.Dann wollen sie mit #Grünen und #FDP neue Koalitionsgespräche eingehen und Merkel wird gehen dafür Mini Merkel #AKK Kanzlerin werden.Der Plan ist so Geheim der darf nicht Öffentlich werden,steht aber in allen Zeitungen",OTHER,OTHER
995,Weihnachtsmarkt in #Straßburg |LBR| Was wir über den Angriff wissen – Ein mit nordafrikanischen Wurzeln Täter eröffnete am Dienstagabend das Feuer #Politei bekannt in (Das war immer so) Frankreich als auch in Deutschland verurteilt.Ein #Merkel und Mini Merkel #CDU Facharbeiter,OFFENSE,INSULT
996,Bei #Phönix sagte #Nahles auf die frage was ist den jetzt mit Paragrafen 219a das wird die Regierung entscheiden wenn die eine Einigung haben können wir darüber Reden. |LBR| TOLL Ist die Blöd sie weiß immer noch nicht das die #SPD die Regierung ist.,OFFENSE,INSULT
997,Für #May läuft es derzeit so überhaupt nicht rund - und dann kam sie vor dem #Merkel-Treffen nicht aus ihrem Auto heraus. Der Grund: Die Tür von Mays Wagen war noch verriegelt.Ja so ist das mit der Kindersicherung im Auto ..<U+0001F923><U+0001F923>,OTHER,OTHER
998,"Die Allgemeine Erklärung der Menschenrechte (Resolution 217 A (III) vom 10.12.1948) besteht aus 30 Artikeln, beschlossen von den Vereinten Nationen.Ich glaube nicht das Deutschland da unterschieben hat denn das #SPD #CDU Hartz IV System verstöst gegen alle diese Menschenrechte",OTHER,OTHER
999,"enschenrechte |LBR| Niemand darf der Folter oder grausamer, unmenschlicher oder erniedrigender Behandlung oder Strafe unterworfen werden.Die #SPD #CDU #CSU Hartz IV Sanktionen sind Seelische und wegen Hungern weil man zu wenig Geld hat zum Essen reine Folter.",OTHER,OTHER
1000,"enschenrechte |LBR| Jeder hat Anspruch auf einen wirksamen Rechtsbehelf bei zuständigen innerstaatlichen Gerichten gegen Handlungen,durch die seine ihm nach der Verfassung oder nach dem Gesetz zustehenden Grundrechte verletzt werden.Das hat die #SPD bei Hartz IV sehr eingeschränkt",OTHER,OTHER
1001,"enschenrechte |LBR| Jeder hat das Recht,am kulturellen Leben der Gemeinschaft frei teilzunehmen,sich an den Künsten zu erfreuen und am wissenschaftlichen Fortschritt und dessen Errungenschaften teilzuhaben.Die #SPD kürtzt denn Hartz IV Satz so das man keine Teilhabe hat.",OTHER,OTHER
1002,"enschenrechte |LBR| Mütter und Kinder haben Anspruch auf besondere Fürsorge und Unterstützung. Alle Kinder,eheliche wie außereheliche, genießen den gleichen sozialen Schutz.Auch daran hält sich die #SPD nicht sie lässt bei Armen Kindern das Kindergeld von Hartz IV Regelsatz abziehen",OTHER,OTHER
1003,"enschenrechte |LBR| Jeder hat das Recht auf einen Lebensstandard,der seine und seiner Familie Gesundheit und Wohl gewährleistet,einschließlich Nahrung,Kleidung, Wohnung,ärztliche Versorgung und notwendige soziale Leistungen um in würde zu leben. Mit dem #SPD Hartz IV ist das unmöglich",OTHER,OTHER
1004,"enschenrechte |LBR| Jeder, ohne Unterschied, hat das Recht auf gleichen Lohn für gleiche Arbeit. |LBR| Über diesen Satz lachen alle #SPD #CDU #CSU #Grünen #FDP Politiker..",OTHER,OTHER
1005,"enschenrechte |LBR| Jeder hat das Recht auf Arbeit, auf freie Berufswahl.Das hat die #SPD verboten mit Ihrem Hartz IV System dort muss man jede Arbeit anehmen und hat keine freie Berufswahl.Sklaven Anno 2018 die SPD Partei der Neuen Sklaven",OFFENSE,INSULT
1006,"enschenrechte |LBR| Niemand darf gezwungen werden, einer Vereinigung anzugehören. |LBR| TOLL dann dürfte es auch keinen Fraktionszwang bei Pateien wie der #SPD #CDU #CSU #Grünen #FDP geben bei JEDER abstimmung im Bundestag oder Landtagen.",OTHER,OTHER
1007,enschenrechte |LBR| Jeder hat das Recht auf Meinungsfreiheit und freie Meinungsäußerung |LBR| Na ja jeder der das macht in Deutschland wird dann gleich als Rechtsradikaler oder Linksradikaler abgestempelt..Ist eine Diskriminierung und demürtigung um so Bürger zum schweigen zu bringen.,OTHER,OTHER
1008,"enschenrechte |LBR| Jeder hat das Recht, in anderen Ländern vor Verfolgung Asyl zu suchen und zu genießen.Hartz IV Empfänger dürfen auch das nicht sie werden Verfolgt Gedemütikt und Ausgebeutet von #SPD #Grünen #CDU #CSU #FDP und von Presse diffamiert dürfen aber kein Asyl stellen,",OTHER,OTHER
1009,"enschenrechte |LBR| Jeder hat das Recht, sich innerhalb eines Staates frei zu bewegen und seinen Aufenthaltsort frei zu wählen.Auch das dürfen Hartz IV Empfänger nicht die #SPD Sanktioniert jeden der sich ohne #Jobcenter zu fragen Frei bewegen will",OTHER,OTHER
1010,"enschenrechte |LBR| Niemand darf der Folter oder grausamer, unmenschlicher oder erniedrigender Behandlung oder Strafe unterworfen werden.Das macht aber die #SPD mit Hartz IV wer nicht spurt wird Sanktioniert und muss Hungern.Hungern ist FOLTER.",OTHER,OTHER
1011,enschenrechte |LBR| Niemand darf in Sklaverei oder Leibeigenschaft gehalten werden; Sklaverei und Sklavenhandel sind in allen ihren Formen verboten.Daran hält sie die #SPD nicht wer in ihrem Hartz IV Sytem nicht für einen Hungerlohn Arbeitet wird mit Sanktionen zur Sklaverei gezwungen,OTHER,OTHER
1012,enschenrechte |LBR| Alle Menschen sind frei und gleich an Würde und Rechten geboren. |LBR| Das gilt nicht für Hartz IV Kinder die haben weder Rechte noch würde und Frei sind sie auch nicht.Das will die #SPD so..TOLL,OFFENSE,INSULT
1013,Toll der Spiegel hat #Putins Stasi-Ausweis in Dresdner Archiv gefunden |LBR| Wann finden sie den Stasi Ausweis von #Merkel #CDU ??,OFFENSE,INSULT
1014,#SPD und #CDU #CSU einigen sich bei Gute-Kita-Gesetz |LBR| Frage mich was daran GUT ist wenn Supereiche Kostenlose Kita Plätze bekommen ?? SPD Sozialpolitik für Reiche.. TOLL weiter so..,OTHER,OTHER
1015,"Krise verschlimmert sich |LBR| 20 Millionen Menschen im #Jemen hungern,weil Saudi Arabien mit Deutschen Waffen von #SPD #CDU #CSU dort Krieg führen.Und dann wunden sie sich das es so viele Flüchtlinge gibt.Aber für ein kleinen Profit gehen unsere Politiker über Leichen.",OTHER,OTHER
